STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AE_OMDB,AMSTERDAM/SCHIPHOL airport - DUBAI INTERNATIONAL airport,2018-06,,67080,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AE_OMDB,AMSTERDAM/SCHIPHOL airport - DUBAI INTERNATIONAL airport,2018-07,,76166,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AE_OMDB,AMSTERDAM/SCHIPHOL airport - DUBAI INTERNATIONAL airport,2018-08,,80731,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AE_OMDB,AMSTERDAM/SCHIPHOL airport - DUBAI INTERNATIONAL airport,2018-09,,72354,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AE_OMDB,AMSTERDAM/SCHIPHOL airport - DUBAI INTERNATIONAL airport,2018-10,,75508,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AE_OMDB,AMSTERDAM/SCHIPHOL airport - DUBAI INTERNATIONAL airport,2018-11,,72496,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AE_OMDB,AMSTERDAM/SCHIPHOL airport - DUBAI INTERNATIONAL airport,2018-12,,79195,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AN_TNCB,AMSTERDAM/SCHIPHOL airport - BONAIRE/FLAMINGO airport,2018-01,,13930,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AN_TNCB,AMSTERDAM/SCHIPHOL airport - BONAIRE/FLAMINGO airport,2018-02,,13022,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AN_TNCB,AMSTERDAM/SCHIPHOL airport - BONAIRE/FLAMINGO airport,2018-03,,12501,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AN_TNCB,AMSTERDAM/SCHIPHOL airport - BONAIRE/FLAMINGO airport,2018-04,,4958,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AN_TNCB,AMSTERDAM/SCHIPHOL airport - BONAIRE/FLAMINGO airport,2018-05,,4976,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AN_TNCB,AMSTERDAM/SCHIPHOL airport - BONAIRE/FLAMINGO airport,2018-06,,4751,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AN_TNCB,AMSTERDAM/SCHIPHOL airport - BONAIRE/FLAMINGO airport,2018-07,,5261,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AN_TNCB,AMSTERDAM/SCHIPHOL airport - BONAIRE/FLAMINGO airport,2018-08,,5619,,,,,
